id,name,muscleGroups,equipmentType,difficultyLevel,description,instruction1,instruction2,instruction3,instruction4
1,Kniebeugen,Beine;Gesäß,Freie Gewichte,Fortgeschritten,Kniebeuge mit Langhantel auf dem oberen Rücken,Langhantel auf oberen Rücken legen,Füße schulterbreit aufstellen,Absenken bis Oberschenkel parallel,Durch Fersen nach oben drücken
2,Kreuzheben,Rücken;Beine;Gesäß,Freie Gewichte,Fortgeschritten,Langhantel vom Boden bis zum Stand heben,Füße hüftbreit positionieren,Langhantel außerhalb der Beine greifen,Rücken gerade halten,Hüfte und Knie strecken
3,Bankdrücken,Brust;Schultern;Trizeps,Freie Gewichte,Fortgeschritten,Langhantel von der Brust nach oben drücken,Auf flacher Bank liegen,Langhantel etwas breiter als schulterbreit greifen,Zur Brust absenken,Nach oben drücken bis Arme gestreckt
4,Schulterdrücken,Schultern;Trizeps,Freie Gewichte,Fortgeschritten,Langhantel über Kopf drücken,Langhantel auf Schulterhöhe,Füße schulterbreit,Gerade nach oben drücken,Kontrolliert absenken
5,Vorgebeugtes Rudern,Rücken;Latissimus,Freie Gewichte,Fortgeschritten,Langhantel zum Oberkörper ziehen,In Hüfte vorbeugen mit geradem Rücken,Langhantel schulterbreit greifen,Zur unteren Brust ziehen,Schulterblätter zusammenziehen
6,Hip Thrust,Gesäß;Beinbeuger,Freie Gewichte,Anfänger,Hüfte mit Gewicht nach oben drücken,Schultern auf Bank ablegen,Langhantel auf Hüfte platzieren,Durch Fersen nach oben drücken,Gesäß oben anspannen
7,Ausfallschritte,Beine;Gesäß,Freie Gewichte,Fortgeschritten,Schritt nach vorne in Ausfallschritt,Langhantel auf oberem Rücken,Mit einem Bein nach vorne treten,Absenken bis beide Knie 90 Grad,Zurück zur Ausgangsposition drücken
8,Good Morning,Beinbeuger;Unterer Rücken,Freie Gewichte,Fortgeschritten,In Hüfte vorbeugen mit Langhantel,Langhantel auf oberem Rücken,In Hüfte als Drehpunkt beugen,Rücken gerade halten,Zurück zur aufrechten Position
9,Bizeps-Curls,Bizeps,Freie Gewichte,Anfänger,Langhantel zu Schultern curlen,Stehend Langhantel in Händen,Handflächen nach vorne,Zur Schulter curlen,Kontrolliert absenken
10,Stirndrücken,Trizeps,Freie Gewichte,Fortgeschritten,Langhantel zur Stirn absenken,Auf Bank liegen,Arme über Kopf gestreckt,Zur Stirn absenken,Arme wieder nach oben strecken
11,Sumo-Kreuzheben,Gesäß;Beinbeuger;Rücken,Freie Gewichte,Fortgeschritten,Kreuzheben mit breitem Stand,Füße breiter als schulterbreit,Zehenspitzen nach außen,Langhantel zwischen Beinen greifen,Hüfte und Knie strecken
12,Rumänisches Kreuzheben,Beinbeuger;Gesäß,Freie Gewichte,Fortgeschritten,Kreuzheben mit minimaler Kniebeugung,Langhantel auf Oberschenkelhöhe,Leichte Kniebeugung,In Hüfte beugen,Dehnung in Beinbeugern spüren
13,Frontkniebeugen,Beine;Rumpf,Freie Gewichte,Fortgeschritten,Kniebeuge mit Langhantel vorne,Langhantel auf vordere Schultern,Ellbogen hoch,Absenken mit aufrechter Brust,Durch Fersen nach oben drücken
14,Enges Bankdrücken,Trizeps;Brust,Freie Gewichte,Fortgeschritten,Bankdrücken mit engem Griff,Auf Bank liegen,Hände schulterbreit oder enger,Zur Brust absenken,Nach oben drücken mit Ellbogen am Körper
15,Landmine Press,Schultern;Brust,Freie Gewichte,Fortgeschritten,Langhantelende schräg nach oben drücken,Ein Ende der Langhantel fixiert,Anderes Ende auf Schulter,Nach oben und vorne drücken,Kontrolliert absenken
16,T-Bar Rudern,Rücken;Latissimus,Freie Gewichte,Fortgeschritten,T-Bar zur Brust rudern,Über T-Bar stehen,In Hüfte beugen,Zur Brust ziehen,Schulterblätter zusammenziehen
17,Floor Press,Trizeps;Brust,Freie Gewichte,Fortgeschritten,Bankdrücken vom Boden,Auf Boden liegen,Absenken bis Ellbogen Boden berühren,Nach oben drücken,Reduzierter Bewegungsumfang
18,Pendlay Rudern,Rücken;Latissimus,Freie Gewichte,Fortgeschritten,Explosives Rudern vom Boden,Langhantel startet jede Wiederholung am Boden,Explosiv zur Brust ziehen,Zurück zum Boden,Oberkörper parallel zum Boden
19,Rack Pulls,Rücken;Trapez,Freie Gewichte,Fortgeschritten,Kreuzheben von erhöhter Position,Langhantel auf Rack-Pins,Vom Kniehöhe ziehen,Fokus auf oberen Rücken,Oben auslocken
20,Schrägbankdrücken,Brust;Schultern,Freie Gewichte,Fortgeschritten,Bankdrücken auf Schrägbank,Bank auf 30-45 Grad einstellen,Zur oberen Brust absenken,Nach oben drücken,Trainiert obere Brust
21,Negativbankdrücken,Brust;Trizeps,Freie Gewichte,Fortgeschritten,Bankdrücken auf Negativbank,Bank auf Negativwinkel einstellen,Zur unteren Brust absenken,Nach oben drücken,Trainiert untere Brust
22,Schulterheben,Trapez,Freie Gewichte,Anfänger,Schultern mit Langhantel anheben,Langhantel auf Oberschenkelhöhe,Schultern zu Ohren ziehen,Kurz halten,Kontrolliert absenken
